Time,Tx,Ty,Tz,R00,R01,R02,R10,R11,R12,R20,R21,R22,Yaw,Pitch,Roll
1755173943.5371132,-122.08887223919746,-90.96198243950123,-568.9614118565655,-0.4728240728418781,-0.050315810031945386,-0.8797191116498764,-0.1329931392861232,0.9910064636928074,0.014799115578241748,0.8710626963910464,0.1239939844504785,-0.47526336990773266,165.377744913665,-60.582367475238655,-164.2900855187456
1755173943.5809505,-127.8692300904239,-88.72281341347882,-562.505742166359,-0.38607870830784563,-0.02863825878991713,-0.9220211934249815,-0.1502149870184609,0.9881285835850098,0.032208073170024804,0.9101531127598196,0.15093625288764717,-0.3857973028649205,158.63297229135247,-65.5265191569974,-158.7400503131722
1755173943.6317048,-133.16475999992113,-88.43920549717828,-563.279102987763,-0.3679314859618675,-0.033344209672739156,-0.9292548548806148,-0.18599480516496938,0.9817995358098464,0.03841359050147737,0.9110611143548697,0.1869701451164611,-0.3674368119086495,153.0307418510346,-65.65240399576226,-153.18272781562976
1755173943.6798286,-136.1248852074144,-87.7301514503983,-561.5625325205142,-0.35418839889891446,-0.012676363277235148,-0.9350881711900152,-0.1820872408188063,0.9817056564935527,0.05566184276105937,0.9172757572379298,0.18998240398159622,-0.35001695867622773,151.5077502145441,-66.53101051441006,-152.7924339250704
1755173943.720519,-138.66205535249492,-87.85897006694348,-563.4820165462309,-0.3091628297022619,0.0011406396650900374,-0.9510084351211848,-0.1752526241755033,0.9828046163427573,0.05815155900718452,0.9347218101927922,0.18464502440228572,-0.3036467561384269,148.69656940347537,-69.18324784809586,-150.45275198373864
1755173943.755134,-139.94674120165146,-87.2673612913005,-562.1889169860816,-0.29353536209135916,0.011810232851818411,-0.9558752583898594,-0.17240726598793005,0.9828730051020225,0.06508756007323577,0.9402726869565349,0.1839053404382422,-0.2864718134857816,147.30089160982263,-70.0974011526182,-149.57225957480458
1755173943.7996047,-140.40709312262342,-86.46760145493137,-559.1079479920523,-0.28192121253299907,0.022444744556925383,-0.9591749910030484,-0.1575608384181586,0.9850703656963056,0.06936106129460419,0.946411650457078,0.17068277027492051,-0.2741758191569567,148.09648269279495,-71.15780090458631,-150.79993831248186
1755173943.8499255,-140.0727898921923,-85.39332479947501,-555.0344750568596,-0.2752211510033422,0.03569591248513468,-0.9607180230807836,-0.1625330621576489,0.9831981491554319,0.08309273856956889,0.9475422532774215,0.17901732131049913,-0.26479516031219336,145.93896125710572,-71.35941737609488,-149.43583816743455
1755173943.896704,-139.7906589183923,-84.38808919698215,-554.6393424305472,-0.2906868588324019,0.03985707189375746,-0.9559877425585577,-0.15620441809010852,0.9837509221193843,0.08851159810099377,0.9439816364057523,0.17505866744984985,-0.27973761470242264,147.96183405834307,-70.73134680845696,-151.74805229885598
1755173943.9364226,-139.89746077590624,-83.99535995964798,-556.0200870485685,-0.2901350759976811,0.03870966033950979,-0.9562024889489776,-0.1607657310699684,0.9830100840085769,0.08857513449602863,0.9433854023618123,0.17942334556531583,-0.27898251858636386,147.25352154685382,-70.62809198084044,-151.00887844487175
